"second","first","ccf","rough_cor","lag","D","sd_D","b1","b2","signature_length","overlap","matches","mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sum_peaks","H.H","D2.D","comparison","id.x","id.y","KM","rfscore","order","type"
"Unknown 1-B/L1.dat","Gun 1-C8/B1/L1.dat",0.264833990317262,-0.119842678621541,0.148349999999983,0.000938133848764126,0.00175902046724673,"Gun 1-C8/B1/L1.dat","Unknown 1-B/L1.dat",1.92855,0.936454849498328,1.66112956810631,14.4311597601542,1.10741971207087,0.553709856035437,6.73454122140531,0,0,3.36727061070266,6.73454122140531,1.15898143624741,2.60796739544663,0.000938133848764126,"Gun 1-C8/B1/L1.dat|Unknown 1-B/L1.dat",5,1,FALSE,0.03,119,"KNM"
"Unknown 1-B/L1.dat","Gun 1-A9/B2/L4.dat",0.238618654511043,0.0953481375890342,0.070304999999998,0.0013282009095746,0.00230076183399026,"Unknown 1-B/L1.dat","Gun 1-A9/B2/L4.dat",1.938225,0.97171381031614,3.18572793883402,14.8220611558243,1.06190931294467,0.530954656472337,5.43475575713559,0,0,5.43475575713559,2.96441223116487,2.43890139064216,4.17928522858642,0.0013282009095746,"Gun 1-A9/B2/L4.dat|Unknown 1-B/L1.dat",26,1,FALSE,0.0133333333333333,132,"KNM"
"Unknown 1-B/L1.dat","Gun 1-M2/B1/L2.dat",0.392357122944764,-0.0987076202779845,0.0122549999999997,0.000802419042405353,0.00142275473923845,"Gun 1-M2/B1/L2.dat","Unknown 1-B/L1.dat",1.92081,0.991605104096709,4.20016958184687,13.3080480420534,2.62510598865429,1.05004239546172,5.63032801779184,0,0,1.02369600323488,4.09478401293952,5.71192531702567,2.59082764550992,0.000802419042405353,"Gun 1-M2/B1/L2.dat|Unknown 1-B/L1.dat",9,1,FALSE,0.183333333333333,21,"KNM"
"Unknown 1-B/L1.dat","Gun 1-L5/B3/L1.dat",0.2126050177062,-0.137311415887375,-0.132869999999996,0.00112639646408491,0.00181284710731171,"Unknown 1-B/L1.dat","Gun 1-L5/B3/L1.dat",1.938225,0.93910149750416,1.09878639043177,15.8940014593583,0.549393195215884,0.549393195215884,6.26127330217147,0,0,6.26127330217147,5.29800048645278,1.24680014722222,3.53081628707448,0.00112639646408491,"Gun 1-L5/B3/L1.dat|Unknown 1-B/L1.dat",31,1,FALSE,0.05,97.5,"KNM"
"Unknown 1-B/L1.dat","Gun 1-R3/B1/L3.dat",0.347784205626843,-0.0852939073277008,0.156089999999996,0.000974678633933563,0.00171656281222173,"Gun 1-R3/B1/L3.dat","Unknown 1-B/L1.dat",1.899525,0.943972835314092,2.78846690089789,15.0475940838685,1.11538676035915,0.557693380179577,4.85406260769952,0,0,2.42703130384976,2.91243756461971,2.56002968007239,3.21058162795576,0.000974678633933563,"Gun 1-R3/B1/L3.dat|Unknown 1-B/L1.dat",39,1,FALSE,0.106666666666667,53.5,"KNM"
"Unknown 1-B/L1.dat","Gun 1-A9/B2/L2.dat",0.229669786300477,-0.123087402337606,-0.0251549999999993,0.00141827365315534,0.00216420753051114,"Gun 1-A9/B2/L2.dat","Unknown 1-B/L1.dat",1.912425,0.978414839797639,1.60329637735184,14.6549023174959,0.534432125783945,0.534432125783945,6.06409751068797,0.534432125783945,0,0,6.06409751068797,1.97729490941287,4.54876446896148,0.00141827365315534,"Gun 1-A9/B2/L2.dat|Unknown 1-B/L1.dat",30,1,FALSE,0.0433333333333333,105,"KNM"
"Unknown 1-B/L1.dat","Gun 1-M2/B3/L4.dat",0.395565034424834,-0.129500136866204,0.205109999999958,0.00092345675094387,0.00177175005554456,"Gun 1-M2/B3/L4.dat","Unknown 1-B/L1.dat",1.764075,0.989031078610603,4.58524982447091,16.2185037923427,2.86578114029432,1.71946868417659,7.60242365266063,0,0.573156228058863,7.60242365266063,0,6.85692046979852,2.85124804664684,0.00092345675094387,"Gun 1-M2/B3/L4.dat|Unknown 1-B/L1.dat",8,1,FALSE,0.16,28.5,"KNM"
"Unknown 1-B/L1.dat","Gun 1-A9/B3/L5.dat",0.240073320213555,-0.0712858825007811,0.0174149999999995,0.00146568592237262,0.00232756722996679,"Unknown 1-B/L1.dat","Gun 1-A9/B3/L5.dat",1.938225,0.99134775374376,3.12263362920287,14.7124477454442,1.04087787640096,0.520438938200478,8.1172125492106,0.520438938200478,0,0,1.01465156865133,3.72074007505174,4.1286147325255,0.00146568592237262,"Gun 1-A9/B3/L5.dat|Unknown 1-B/L1.dat",26,1,FALSE,0.02,126.5,"KNM"
"Unknown 1-B/L1.dat","Gun 1-U10/B3/L3.dat",0.207360744764301,-0.124164314242694,0.0019349999999996,0.00108115152900966,0.00165139977929726,"Gun 1-U10/B3/L3.dat","Unknown 1-B/L1.dat",1.93629,0.991672218520986,3.12473146838943,15.3554400485232,1.56236573419472,0.520788578064906,10.2369600323488,0,0,2.04739200646976,2.04739200646976,2.53005982444725,3.56040741017899,0.00108115152900966,"Gun 1-U10/B3/L3.dat|Unknown 1-B/L1.dat",NA,1,FALSE,0.0433333333333333,105,"KNM"
"Unknown 1-B/L1.dat","Gun 1-P7/B1/L2.dat",0.502163406173767,-0.102735325407432,-0.00515999999999985,0.000936690510009874,0.00180140711424083,"Unknown 1-B/L1.dat","Gun 1-P7/B1/L2.dat",1.938225,0.993677204658902,2.59609443553119,14.7850181881215,1.03843777421247,0.519218887106237,5.098282133835,0,0,2.5491410669175,3.5687974936845,3.51199530010348,3.17456286992353,0.000936690510009874,"Gun 1-P7/B1/L2.dat|Unknown 1-B/L1.dat",19,1,FALSE,0.34,6,"KNM"
